season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2014,2013-14,Allan Hancock,allanhancock,0,0,0,0,,4.0,3.0,2.0,0.667,1.0,4.0
2014,2013-14,American River,americanriver,11,2,8,0,1.0,68.0,47.0,35.0,0.745,25.0,36.0
2014,2013-14,Antelope Valley,antelopevalley,15,3,12,4,0.789,175.0,116.0,101.0,0.871,72.0,99.0
2014,2013-14,Bakersfield,bakersfield,15,7,10,2,0.895,99.0,50.0,38.0,0.76,32.0,84.0
2014,2013-14,Barstow,barstow,23,9,11,0,1.0,264.0,163.0,113.0,0.693,81.0,144.0
2014,2013-14,Butte,butte,1,1,1,0,1.0,11.0,5.0,5.0,1.0,5.0,4.0
2014,2013-14,Cabrillo,cabrillo,1,0,2,1,0.667,17.0,13.0,11.0,0.846,6.0,5.0
2014,2013-14,Canada,canada,12,11,7,4,0.818,111.0,72.0,44.0,0.611,51.0,78.0
2014,2013-14,Canyons,canyons,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,Cerritos,cerritos,22,16,6,3,0.88,137.0,49.0,36.0,0.735,52.0,97.0
2014,2013-14,Cerro Coso,cerrocoso,25,5,19,0,1.0,280.0,240.0,194.0,0.808,86.0,113.0
2014,2013-14,Chabot,chabot,0,0,0,0,,2.0,1.0,1.0,1.0,1.0,2.0
2014,2013-14,Chaffey,chaffey,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,Citrus,citrus,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,Contra Costa,contracosta,30,8,17,4,0.862,255.0,170.0,137.0,0.806,120.0,91.0
2014,2013-14,Cosumnes River,cosumnesriver,11,9,7,5,0.762,91.0,60.0,44.0,0.733,70.0,92.0
2014,2013-14,Cuesta,cuesta,14,3,10,4,0.765,132.0,94.0,76.0,0.809,53.0,67.0
2014,2013-14,Cypress,cypress,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2014,2013-14,De Anza,deanza,21,2,21,0,1.0,201.0,154.0,124.0,0.805,73.0,53.0
2014,2013-14,Desert,desert,19,3,18,2,0.913,218.0,176.0,140.0,0.795,117.0,90.0
2014,2013-14,Diablo Valley,diablovalley,14,11,2,0,1.0,71.0,28.0,13.0,0.464,32.0,117.0
2014,2013-14,East Los Angeles,eastlosangeles,0,1,1,8,0.2,13.0,6.0,6.0,1.0,6.0,11.0
2014,2013-14,El Camino,elcamino,2,3,3,8,0.429,65.0,42.0,34.0,0.81,36.0,48.0
2014,2013-14,El Camino-Compton Center,elcaminocomptoncenter,17,7,7,1,0.933,132.0,69.0,55.0,0.797,44.0,95.0
2014,2013-14,Feather River,featherriver,20,13,3,13,0.552,107.0,53.0,29.0,0.547,54.0,145.0
2014,2013-14,Fresno City,fresno,3,1,1,0,1.0,28.0,20.0,9.0,0.45,20.0,29.0
2014,2013-14,Fullerton,fullerton,1,0,0,0,,18.0,8.0,6.0,0.75,5.0,11.0
2014,2013-14,Gavilan,gavilan,3,2,5,2,0.778,31.0,31.0,26.0,0.839,32.0,41.0
2014,2013-14,Glendale,glendale,5,3,1,0,1.0,35.0,18.0,17.0,0.944,10.0,16.0
2014,2013-14,Golden West,goldenwest,0,4,1,3,0.625,11.0,7.0,5.0,0.714,3.0,11.0
2014,2013-14,Grossmont,grossmont,4,4,5,3,0.75,59.0,32.0,25.0,0.781,28.0,42.0
2014,2013-14,Hartnell,hartnell,1,0,2,2,0.5,23.0,25.0,15.0,0.6,10.0,5.0
2014,2013-14,Imperial Valley,imperialvalley,25,3,20,2,0.92,335.0,253.0,198.0,0.783,128.0,77.0
2014,2013-14,Irvine Valley,irvinevalley,13,2,8,0,1.0,85.0,45.0,31.0,0.689,36.0,45.0
2014,2013-14,LA Harbor,laharbor,0,1,3,2,0.667,39.0,35.0,27.0,0.771,15.0,33.0
2014,2013-14,LA Mission,lamission,1,0,0,0,,8.0,9.0,9.0,1.0,5.0,2.0
2014,2013-14,LA Pierce,lapierce,0,0,0,0,,11.0,9.0,6.0,0.667,7.0,10.0
