season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2019,2018-19,Allan Hancock,allanhancock,33,12,15,4,0.871,248.0,141.0,97.0,0.688,88.0,165.0
2019,2018-19,American River,americanriver,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2019,2018-19,Antelope Valley,antelopevalley,32,12,16,0,1.0,239.0,182.0,148.0,0.813,105.0,116.0
2019,2018-19,Bakersfield,bakersfield,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2019,2018-19,Barstow,barstow,12,4,6,1,0.909,128.0,67.0,60.0,0.896,27.0,35.0
2019,2018-19,Butte,butte,15,12,3,3,0.833,124.0,61.0,51.0,0.836,33.0,128.0
2019,2018-19,Cabrillo,cabrillo,23,15,11,11,0.703,216.0,138.0,118.0,0.855,75.0,101.0
2019,2018-19,Canada,canada,30,10,14,4,0.857,227.0,136.0,108.0,0.794,122.0,128.0
2019,2018-19,Canyons,canyons,11,6,6,3,0.8,95.0,54.0,47.0,0.87,25.0,73.0
2019,2018-19,Cerritos,cerritos,22,3,17,1,0.952,262.0,192.0,149.0,0.776,100.0,101.0
2019,2018-19,Cerro Coso,cerrocoso,22,12,9,4,0.84,196.0,129.0,102.0,0.791,72.0,163.0
2019,2018-19,Chabot,chabot,0,1,1,0,1.0,27.0,18.0,18.0,1.0,8.0,13.0
2019,2018-19,Chaffey,chaffey,1,0,1,1,0.5,36.0,28.0,21.0,0.75,15.0,41.0
2019,2018-19,Citrus,citrus,7,4,2,0,1.0,57.0,29.0,24.0,0.828,23.0,42.0
2019,2018-19,Compton,compton,20,5,13,4,0.818,226.0,164.0,119.0,0.726,126.0,115.0
2019,2018-19,Contra Costa,contracosta,20,4,16,1,0.952,249.0,207.0,177.0,0.855,144.0,119.0
2019,2018-19,Cosumnes River,cosumnesriver,17,17,14,7,0.816,280.0,200.0,155.0,0.775,134.0,158.0
2019,2018-19,Cuesta,cuesta,0,0,0,0,,4.0,2.0,2.0,1.0,2.0,1.0
2019,2018-19,Cypress,cypress,13,9,5,3,0.824,99.0,58.0,51.0,0.879,39.0,89.0
2019,2018-19,De Anza,deanza,13,4,10,2,0.875,117.0,100.0,79.0,0.79,48.0,82.0
2019,2018-19,Desert,desert,8,3,12,2,0.882,162.0,114.0,97.0,0.851,56.0,70.0
2019,2018-19,Diablo Valley,diablovalley,15,8,14,4,0.846,184.0,137.0,106.0,0.774,87.0,135.0
2019,2018-19,East Los Angeles,eastlosangeles,25,11,11,1,0.957,211.0,113.0,93.0,0.823,71.0,154.0
2019,2018-19,El Camino,elcamino,33,30,6,14,0.72,222.0,78.0,67.0,0.859,81.0,247.0
