season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2021,2020-21,Allan Hancock,allanhancock,11,8,2,1,0.909,75.0,34.0,31.0,0.912,19.0,63.0
2021,2020-21,American River,americanriver,0,0,0,0,,4.0,2.0,2.0,1.0,0.0,4.0
2021,2020-21,Antelope Valley,antelopevalley,18,1,17,0,1.0,203.0,199.0,174.0,0.874,92.0,79.0
2021,2020-21,Bakersfield,bakersfield,5,5,2,0,1.0,38.0,21.0,16.0,0.762,10.0,34.0
2021,2020-21,Butte,butte,10,5,1,1,0.857,53.0,28.0,18.0,0.643,15.0,54.0
2021,2020-21,Cabrillo,cabrillo,10,7,3,3,0.769,76.0,33.0,28.0,0.848,35.0,98.0
2021,2020-21,Canada,canada,0,1,2,0,1.0,33.0,23.0,15.0,0.652,12.0,17.0
2021,2020-21,Cerro Coso,cerrocoso,5,3,2,1,0.833,51.0,35.0,32.0,0.914,23.0,35.0
2021,2020-21,Contra Costa,contracosta,4,2,2,0,1.0,41.0,31.0,20.0,0.645,24.0,14.0
2021,2020-21,Cosumnes River,cosumnesriver,6,2,2,0,1.0,66.0,55.0,48.0,0.873,22.0,43.0
2021,2020-21,Cuesta,cuesta,2,0,4,1,0.8,18.0,18.0,13.0,0.722,13.0,14.0
2021,2020-21,Cypress,cypress,4,1,1,1,0.667,27.0,18.0,15.0,0.833,22.0,23.0
2021,2020-21,Diablo Valley,diablovalley,11,3,8,2,0.846,84.0,66.0,40.0,0.606,30.0,74.0
2021,2020-21,Feather River,featherriver,14,10,2,3,0.8,100.0,83.0,54.0,0.651,55.0,113.0
2021,2020-21,Folsom Lake,folsomlake,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2021,2020-21,Fresno City,fresno,4,1,2,0,1.0,38.0,23.0,18.0,0.783,17.0,26.0
2021,2020-21,Fullerton,fullerton,3,2,3,0,1.0,36.0,38.0,24.0,0.632,17.0,18.0
2021,2020-21,Golden West,goldenwest,0,3,0,2,0.6,12.0,5.0,4.0,0.8,10.0,13.0
2021,2020-21,Hartnell,hartnell,12,0,13,0,1.0,176.0,165.0,145.0,0.879,77.0,65.0
2021,2020-21,Irvine Valley,irvinevalley,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2021,2020-21,Laney,laney,1,1,3,0,1.0,57.0,56.0,42.0,0.75,28.0,26.0
2021,2020-21,Lassen,lassen,11,6,6,1,0.923,60.0,54.0,39.0,0.722,47.0,58.0
2021,2020-21,Los Medanos,losmedanos,1,0,1,0,1.0,11.0,7.0,6.0,0.857,8.0,12.0
2021,2020-21,Marin,marin,5,3,5,1,0.889,62.0,43.0,38.0,0.884,21.0,38.0
2021,2020-21,Mendocino,mendocino,8,2,9,3,0.786,95.0,94.0,79.0,0.84,51.0,42.0
2021,2020-21,Merced,merced,18,10,8,4,0.818,168.0,123.0,96.0,0.78,79.0,127.0
2021,2020-21,Mission,mission,1,1,1,1,0.667,10.0,7.0,7.0,1.0,6.0,7.0
2021,2020-21,Monterey Peninsula,montereypeninsula,2,2,0,1,0.667,27.0,16.0,14.0,0.875,24.0,33.0
2021,2020-21,Moorpark,moorpark,1,0,1,0,1.0,50.0,39.0,24.0,0.615,15.0,8.0
2021,2020-21,Mt. San Antonio,mtsanantonio,9,2,1,0,1.0,33.0,21.0,18.0,0.857,20.0,44.0
2021,2020-21,Mt. San Jacinto,mtsanjacinto,8,3,0,0,1.0,50.0,37.0,30.0,0.811,14.0,34.0
2021,2020-21,Napa Valley,napavalley,9,3,6,2,0.818,100.0,100.0,89.0,0.89,56.0,65.0
2021,2020-21,Ohlone,ohlone,0,0,0,0,,2.0,2.0,2.0,1.0,4.0,4.0
2021,2020-21,Orange Coast,orangecoast,9,3,1,2,0.667,32.0,19.0,19.0,1.0,27.0,59.0
2021,2020-21,Oxnard,oxnard,12,5,6,0,1.0,97.0,66.0,47.0,0.712,41.0,73.0
2021,2020-21,Redwoods,redwoods,12,0,13,0,1.0,176.0,187.0,144.0,0.77,84.0,71.0
2021,2020-21,Reedley,reedley,6,4,4,0,1.0,61.0,32.0,21.0,0.656,22.0,33.0
2021,2020-21,Sacramento City,sacramentocity,4,2,0,0,1.0,10.0,8.0,7.0,0.875,10.0,22.0
2021,2020-21,Saddleback,saddleback,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2021,2020-21,San Mateo,sanmateo,0,0,0,1,0.0,1.0,1.0,1.0,1.0,1.0,2.0
2021,2020-21,Santa Ana,santaana,2,0,1,0,1.0,23.0,13.0,11.0,0.846,7.0,9.0
2021,2020-21,Santa Rosa,santarosa,0,0,0,3,0.0,9.0,7.0,7.0,1.0,4.0,9.0
2021,2020-21,Sequoias,sequoias,0,8,1,9,0.5,61.0,28.0,18.0,0.643,13.0,38.0
