season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2013,2012-13,Allan Hancock,allanhancock,0,0,0,0,,24.0,13.0,12.0,0.923,5.0,10.0
2013,2012-13,American River,americanriver,5,1,2,0,1.0,32.0,22.0,20.0,0.909,16.0,17.0
2013,2012-13,Antelope Valley,antelopevalley,0,0,0,0,,0.0,0.0,0.0,,1.0,2.0
2013,2012-13,Bakersfield,bakersfield,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2013,2012-13,Barstow,barstow,23,13,10,6,0.793,238.0,147.0,119.0,0.81,79.0,146.0
2013,2012-13,Butte,butte,4,4,2,6,0.5,56.0,21.0,17.0,0.81,15.0,45.0
2013,2012-13,Cabrillo,cabrillo,3,3,5,8,0.5,82.0,40.0,30.0,0.75,34.0,56.0
2013,2012-13,Canada,canada,0,0,0,0,,10.0,7.0,7.0,1.0,4.0,5.0
2013,2012-13,Canyons,canyons,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2013,2012-13,Cerritos,cerritos,14,3,8,1,0.917,98.0,59.0,39.0,0.661,41.0,80.0
2013,2012-13,Cerro Coso,cerrocoso,21,4,15,1,0.95,389.0,320.0,271.0,0.847,120.0,115.0
2013,2012-13,Chabot,chabot,15,7,7,3,0.824,103.0,49.0,37.0,0.755,45.0,85.0
2013,2012-13,Chaffey,chaffey,9,3,4,2,0.778,69.0,45.0,36.0,0.8,26.0,57.0
2013,2012-13,Citrus,citrus,0,0,1,0,1.0,12.0,5.0,3.0,0.6,0.0,6.0
2013,2012-13,Contra Costa,contracosta,21,3,19,0,1.0,303.0,208.0,156.0,0.75,91.0,84.0
2013,2012-13,Cosumnes River,cosumnesriver,23,9,14,1,0.958,156.0,82.0,65.0,0.793,61.0,106.0
2013,2012-13,Cuesta,cuesta,7,1,4,1,0.833,80.0,44.0,35.0,0.795,15.0,47.0
2013,2012-13,Cypress,cypress,7,6,1,0,1.0,44.0,19.0,16.0,0.842,16.0,26.0
2013,2012-13,De Anza,deanza,0,2,3,8,0.385,29.0,19.0,11.0,0.579,17.0,29.0
2013,2012-13,Desert,desert,13,5,8,0,1.0,155.0,109.0,91.0,0.835,49.0,69.0
2013,2012-13,Diablo Valley,diablovalley,9,2,9,2,0.846,71.0,45.0,31.0,0.689,45.0,41.0
2013,2012-13,East Los Angeles,eastlosangeles,11,9,2,0,1.0,86.0,25.0,17.0,0.68,23.0,45.0
2013,2012-13,El Camino,elcamino,0,0,1,1,0.5,16.0,9.0,7.0,0.778,5.0,13.0
2013,2012-13,El Camino-Compton Center,elcaminocomptoncenter,17,14,6,1,0.952,124.0,88.0,54.0,0.614,82.0,126.0
2013,2012-13,Feather River,featherriver,4,6,4,6,0.625,92.0,36.0,24.0,0.667,30.0,75.0
2013,2012-13,Fresno City,fresno,0,1,0,0,1.0,8.0,8.0,6.0,0.75,7.0,15.0
2013,2012-13,Fullerton,fullerton,8,3,3,0,1.0,38.0,23.0,17.0,0.739,30.0,37.0
2013,2012-13,Gavilan,gavilan,1,0,0,0,,8.0,7.0,7.0,1.0,6.0,3.0
2013,2012-13,Glendale,glendale,15,6,3,0,1.0,87.0,43.0,32.0,0.744,38.0,73.0
2013,2012-13,Golden West,goldenwest,1,2,2,0,1.0,51.0,28.0,24.0,0.857,18.0,41.0
