season,cccaa_season,team,team_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2015,2014-15,Allan Hancock,allanhancock,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,American River,americanriver,13,4,9,1,0.929,164.0,108.0,89.0,0.824,62.0,52.0
2015,2014-15,Antelope Valley,antelopevalley,14,5,7,2,0.857,118.0,65.0,51.0,0.785,43.0,72.0
2015,2014-15,Bakersfield,bakersfield,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Barstow,barstow,10,4,8,0,1.0,124.0,65.0,47.0,0.723,43.0,63.0
2015,2014-15,Butte,butte,0,1,0,0,1.0,1.0,2.0,2.0,1.0,3.0,4.0
2015,2014-15,Cabrillo,cabrillo,13,7,3,1,0.909,63.0,26.0,20.0,0.769,31.0,55.0
2015,2014-15,Canada,canada,8,3,3,2,0.75,49.0,26.0,22.0,0.846,27.0,13.0
2015,2014-15,Canyons,canyons,4,1,5,4,0.6,63.0,36.0,21.0,0.583,22.0,38.0
2015,2014-15,Cerritos,cerritos,10,6,2,2,0.8,59.0,19.0,15.0,0.789,30.0,76.0
2015,2014-15,Cerro Coso,cerrocoso,19,4,18,2,0.917,232.0,165.0,127.0,0.77,78.0,88.0
2015,2014-15,Chabot,chabot,4,0,5,0,1.0,27.0,24.0,22.0,0.917,16.0,11.0
2015,2014-15,Chaffey,chaffey,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Citrus,citrus,1,1,0,0,1.0,4.0,0.0,0.0,,0.0,7.0
2015,2014-15,Contra Costa,contracosta,35,6,29,1,0.972,377.0,263.0,210.0,0.798,138.0,152.0
2015,2014-15,Cosumnes River,cosumnesriver,4,2,3,2,0.714,40.0,31.0,26.0,0.839,33.0,32.0
2015,2014-15,Cuesta,cuesta,11,10,5,7,0.682,98.0,47.0,27.0,0.574,31.0,81.0
2015,2014-15,Cypress,cypress,13,10,4,1,0.933,100.0,41.0,35.0,0.854,27.0,88.0
2015,2014-15,De Anza,deanza,30,18,17,5,0.875,265.0,138.0,106.0,0.768,116.0,196.0
2015,2014-15,Desert,desert,2,3,1,0,1.0,27.0,11.0,10.0,0.909,13.0,10.0
2015,2014-15,Diablo Valley,diablovalley,0,0,1,0,1.0,1.0,3.0,1.0,0.333,2.0,0.0
2015,2014-15,East Los Angeles,eastlosangeles,1,0,1,0,1.0,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,El Camino,elcamino,0,1,1,1,0.667,17.0,6.0,5.0,0.833,8.0,9.0
2015,2014-15,El Camino-Compton Center,elcaminocomptoncenter,1,2,0,6,0.25,38.0,15.0,12.0,0.8,6.0,36.0
2015,2014-15,Feather River,featherriver,0,0,1,1,0.5,3.0,1.0,1.0,1.0,3.0,1.0
2015,2014-15,Folsom Lake,folsomlake,11,5,7,0,1.0,77.0,77.0,49.0,0.636,48.0,43.0
2015,2014-15,Fresno City,fresno,0,0,0,1,0.0,5.0,4.0,3.0,0.75,8.0,3.0
2015,2014-15,Fullerton,fullerton,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Gavilan,gavilan,10,7,3,2,0.833,81.0,37.0,30.0,0.811,19.0,109.0
2015,2014-15,Glendale,glendale,1,0,3,0,1.0,15.0,11.0,9.0,0.818,7.0,4.0
2015,2014-15,Golden West,goldenwest,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2015,2014-15,Grossmont,grossmont,2,1,3,0,1.0,24.0,22.0,18.0,0.818,10.0,24.0
2015,2014-15,Hartnell,hartnell,2,0,4,1,0.8,28.0,29.0,23.0,0.793,22.0,19.0
2015,2014-15,Imperial Valley,imperialvalley,13,3,9,3,0.8,237.0,171.0,131.0,0.766,74.0,60.0
2015,2014-15,Irvine Valley,irvinevalley,0,0,0,0,,2.0,1.0,1.0,1.0,4.0,2.0
