season,cccaa_season,team,team_id,player_id,player_name,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2022,2021-22,Allan Hancock,allanhancock,brayannunez3np0,Brayan Nunez,23,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,caelandalmank46c,Caelan Dalman,23,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,dylanhowellwxyp,Dylan Howell,29,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,evansteinbergerbb1i,Evan Steinberger,36,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,jacksonstahlqbh4,Jackson Stahl,11,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,jacobortegajmnn,Jacob Ortega,37,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,jacobruleype4d,Jacob Ruley,40,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,jacobsteels2tno,Jacob Steels,40,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,joeyfreitasdqgp,Joey Freitas,40,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,kalubramireza28r,Kalub Ramirez,36,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,lukewenzeln2ft,Luke Wenzel,19,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,matthewgonzales7jur,Matthew Gonzales,13,8,5,2,0,1.0,61.0,37.0,29.0,0.784,20.0,57.0
2022,2021-22,Allan Hancock,allanhancock,michaeltackettg94o,Michael Tackett,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,parkerhaskellkvwm,Parker Haskell,34,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,trentonpallasrjr7,Trenton Pallas,24,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,Allan Hancock,allanhancock,vanceserranovt54,Vance Serrano,26,2,1,1,0,1.0,33.0,14.0,13.0,0.929,7.0,14.0
2022,2021-22,Allan Hancock,allanhancock,vanderhodgesqaqu,Vander Hodges,36,0,0,0,0,,7.0,4.0,4.0,1.0,1.0,4.0
2022,2021-22,Allan Hancock,allanhancock,zachmartinezcbsc,Zach Martinez,21,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,American River,americanriver,alejandrobelolqkm,Alejandro Belo,29,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2022,2021-22,American River,americanriver,blakeyuyamaszcq,Blake Yuyama,32,4,2,0,1,0.667,33.0,17.0,15.0,0.882,12.0,18.0
2022,2021-22,American River,americanriver,brycesidlervsqj,Bryce Sidler,39,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
