season,cccaa_season,team,team_id,player_id,player_name,G,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI
2012,2011-12,Allan Hancock,allanhancock,andrewclarkj6qo,Andrew Clark,35,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,cesarcatibayanrzgz,Cesar Catibayan,20,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,chrishernandezzg5m,Chris Hernandez,30,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,danielmalloryej4j,Daniel Mallory,36,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,jacobcanoq7ml,Jacob Cano,35,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,mikefoleyzd3k,Mike Foley,31,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,mitchehollingsworthiewb,Mitche Hollingsworth,25,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,mitchellangelonix3wf,Mitchell Angeloni,1,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,nichayzj8u,Nic Hay,19,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,nicktaitagueaebg,Nick Taitague,10,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,riverstevens4ei8,River Stevens,36,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,rogerguillenqg93,Roger Guillen,6,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,sethspearsv4jb,Seth Spears,17,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,taylormowatt4jjs,Taylor Mowatt,24,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,tomliningeroh8e,Tom Lininger,29,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Allan Hancock,allanhancock,tommuhlethaleritlx,Tom Muhlethaler,31,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,andrewlojewskilso3,Andrew Lojewski,18,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,camerongordon6xk2,Cameron Gordon,36,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,codylommori3e8d,Cody Lommori,32,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,davidcooley51dj,David Cooley,31,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,davidlandukabts,David Landuk,13,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,dericquigleyb2r8,Deric Quigley,17,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,jakerifficeztj1,Jake Riffice,35,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,jasonfletchertjf9,Jason Fletcher,33,11,2,7,0,1.0,69.0,39.0,31.0,0.795,27.0,39.0
2012,2011-12,American River,americanriver,jasonoconnorkbd5,Jason O'Connor,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,jaystanden76no,Jay Standen,20,1,0,0,0,,8.0,10.0,10.0,1.0,6.0,1.0
2012,2011-12,American River,americanriver,jrcasasdzxu,Jr. Casas,25,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,ryanwinderfernandeda67,Ryan Winder-Fernande,11,0,0,0,0,,14.0,14.0,9.0,0.643,5.0,4.0
2012,2011-12,American River,americanriver,spencershankyfxa,Spencer Shank,16,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,tannermcmahon3hqa,Tanner McMahon,21,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,tjmeleskiuzyx,Tj Meleski,33,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,tylerepplerz5b5,Tyler Eppler,29,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,American River,americanriver,wyattmoreland4vxi,Wyatt Moreland,36,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,aaronowenbfcc,Aaron Owen,23,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,brianebertxelb,Brian Ebert,29,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,coryderushtn8b,Cory DeRush,26,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,dylanlivingstonoi6y,Dylan Livingston,15,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,enriquealvaradodo91,Enrique Alvarado,34,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,jacksheeleylhs5,Jack Sheeley,30,10,3,4,0,1.0,70.0,57.0,44.0,0.772,19.0,35.0
2012,2011-12,Antelope Valley,antelopevalley,jacobrisingerym66,Jacob Risinger,25,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
2012,2011-12,Antelope Valley,antelopevalley,kyletaisacanjejg,Kyle Taisacan,24,0,0,0,0,,0.0,0.0,0.0,,0.0,0.0
