date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Chaffey,W,6-5,6,5,1,win,20150127_7jrj,0,0,0,0,0.1,2,3,1,27.00,,,2015,2014-15,San Diego City,sandiego,seanmulveycjq7,Sean Mulvey
Apr 14,home,Imperial Valley,W,12-7,12,7,5,win,20150414_s13b,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,San Diego City,sandiego,seanmulveycjq7,Sean Mulvey
Apr 23,home,Mt. San Jacinto,L,2-1,2,1,1,win,20150423_gkne,0,0,0,0,1.0,1,,,0.00,,,2015,2014-15,San Diego City,sandiego,seanmulveycjq7,Sean Mulvey
Apr 24,home,Mt. San Jacinto,W,6-3,6,3,3,win,20150424_011h,0,0,0,0,0.0,,,,0.00,,,2015,2014-15,San Diego City,sandiego,seanmulveycjq7,Sean Mulvey
