date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Apr 10,home,Lassen,W,30-4,30,4,26,win,20210410_kiqs,0,0,0,0,1.0,,,,0.00,,2,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
Apr 15,home,Siskiyous,L,16-4,16,4,12,win,20210415_7ne1,0,0,0,0,0.2,,1,,0.00,1,,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
Apr 22,home,Butte,L,6-2,6,2,4,win,20210422_zpix,0,0,0,0,3.0,1,,,0.00,,3,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 1,home,Redwoods,W,14-5,14,5,9,win,20210501_xtbb,0,0,0,0,3.0,2,2,1,3.00,2,4,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 1,home,Redwoods,W,26-0,26,0,26,win,20210501_673k,0,0,0,0,0.0,,,,0.00,,,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 6,home,Shasta,L,14-13,14,13,1,win,20210506_ed8r,0,0,0,0,1.2,3,2,2,10.80,,1,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 13,home,Lassen,W,7-0,7,0,7,win,20210513_g9jc,0,0,0,0,0.1,1,,,0.00,,,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 15,home,Lassen,W,3-1,3,1,2,win,20210515_50z4,0,0,0,1,1.0,1,,,0.00,1,3,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 20,home,Siskiyous,W,10-9,10,9,1,win,20210520_hos1,0,0,0,0,0.1,2,2,,0.00,1,,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
May 27,home,Shasta,W,11-4,11,4,7,win,20210527_nrwf,0,1,0,0,2.1,1,,,0.00,,5,2021,,Feather River,featherriver,dylananderman2vuf,Dylan Anderman
