date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Skyline,W,6-5,6,5,1,win,20180127_oyzx,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Jan 28,home,Feather River,W,10-6,10,6,4,win,20180128_hiai,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 2,home,Los Medanos,W,6-4,6,4,2,win,20180202_h7a9,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 3,home,Los Medanos,L,7-5,7,5,2,win,20180203_23ns,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 9,home,Chabot,W,8-5,8,5,3,win,20180209_twrn,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 10,home,Chabot,W,17-6,17,6,11,win,20180210_8aj8,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 20,home,Hartnell,W,8-1,8,1,7,win,20180220_2z9b,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 21,home,Hartnell,L,4-3,4,3,1,win,20180221_te8z,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 24,home,Santa Rosa,W,10-6,10,6,4,win,20180224_d32x,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Feb 28,home,Canada,L,3-2,3,2,1,win,20180228_jte1,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Mar 6,home,Porterville,W,17-2,17,2,15,win,20180306_unjw,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Mar 8,home,Porterville,W,18-1,18,1,17,win,20180308_ul2b,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Mar 23,home,Taft,W,12-10,12,10,2,win,20180323_s6ci,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Mar 24,home,Taft,W,10-0,10,0,10,win,20180324_332k,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Apr 10,home,West Hills Coalinga,W,19-2,19,2,17,win,20180410_fnsp,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Apr 21,home,Merced,W,11-6,11,6,5,win,20180421_m27x,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
Apr 27,home,Cerro Coso,W,9-3,9,3,6,win,20180427_q72f,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
May 4,home,Folsom Lake,L,8-7,8,7,1,win,20180504_adjx,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
May 5,home,Folsom Lake,W,6-1,6,1,5,win,20180505_0ywm,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
May 5,home,Folsom Lake,W,14-3,14,3,11,win,20180505_p7ov,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
May 12,home,Sacramento City,L,15-11,15,11,4,win,20180512_9dwk,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Fresno City,fresno,chaserocamoranxl8,Chase Rocamora
