date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 31,home,West Valley,L,10-5,10,5,5,win,20230131_31n9,1,0,1,0,2.1,4,6,6,23.14,5,3,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Feb 4,home,Shasta,L,6-4,6,4,2,win,20230204_2a11,1,0,1,0,3.0,5,4,4,12.00,3,6,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Feb 9,home,Lassen,W,8-5,8,5,3,win,20230209_97t2,0,1,0,0,5.1,3,,,0.00,6,1,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Feb 16,home,Butte,L,5-0,5,0,5,win,20230216_skew,0,0,1,0,5.1,9,5,2,3.38,3,4,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Feb 17,home,Butte,L,15-2,15,2,13,win,20230217_c354,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Feb 22,home,Solano,W,5-3,5,3,2,win,20230222_25qp,1,1,0,0,6.0,3,2,1,1.50,3,4,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Mar 2,home,Modesto,W,13-2,13,2,11,win,20230302_gu74,1,1,0,0,6.1,7,2,2,2.84,2,4,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Mar 3,home,Modesto,L,9-2,9,2,7,win,20230303_9j7f,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Mar 7,home,San Joaquin Delta,L,12-1,12,1,11,win,20230307_fwft,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Mar 9,home,San Joaquin Delta,L,15-0,15,0,15,win,20230309_176p,1,0,1,0,4.1,8,7,7,14.54,2,5,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Mar 24,home,Sierra,L,12-6,12,6,6,win,20230324_nwag,1,0,1,0,2.2,5,10,9,30.38,5,3,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Mar 31,home,Diablo Valley,L,11-5,11,5,6,win,20230331_lh4j,1,0,1,0,3.2,8,6,2,4.91,2,6,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Apr 6,home,Santa Rosa,L,7-4,7,4,3,win,20230406_lqm4,1,0,1,0,5.0,8,7,6,10.80,4,1,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
Apr 8,home,Santa Rosa,L,11-3,11,3,8,win,20230408_u092,0,0,0,0,0.0,,,,0.00,,,2023,2022-23,American River,americanriver,tylermoore1ogh,Tyler Moore
