date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 26,home,Diablo Valley,L,5-4,5,4,1,win,20190126_i0hl,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Jan 29,home,Solano,W,8-3,8,3,5,win,20190129_e4uc,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Jan 31,home,Solano,W,8-1,8,1,7,win,20190131_o8z8,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Feb 2,home,Solano,W,10-5,10,5,5,win,20190202_tbwi,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Feb 12,home,San Joaquin Delta,L,16-6,16,6,10,win,20190212_rc48,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Feb 14,home,Gavilan,W,10-4,10,4,6,win,20190214_0gus,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Feb 16,home,Feather River,W,11-6,11,6,5,win,20190216_2qe9,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Mar 2,home,Gavilan,W,13-1,13,1,12,win,20190302_jctk,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Mar 12,home,De Anza,W,16-4,16,4,12,win,20190312_mj94,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Mar 16,home,Chabot,L,10-9,10,9,1,win,20190316_57si,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Apr 2,home,Mission,L,19-4,19,4,15,win,20190402_52o4,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Apr 20,home,San Francisco,W,10-0,10,0,10,win,20190420_8k0j,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
Apr 27,home,Monterey Peninsula,W,3-2,3,2,1,win,20190427_1sm1,0,0,0,0,0.0,,,,0.00,,,2019,,San Mateo,sanmateo,kobechristoaq9w,Kobe Christo
