date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Chaffey,W,6-5,6,5,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Jan 30,home,Saddleback,L,13-5,13,5,8,win,20150130_dtb0,0,0,0,0,0.1,3,3,3,81.00,1,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Jan 31,home,Saddleback,L,8-0,8,0,8,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 3,home,West LA,W,4-3,4,3,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 6,home,Cerro Coso,W,6-1,6,1,5,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 7,home,Irvine Valley,W,3-2,3,2,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 14,home,El Camino-Compton Center,L,6-3,6,3,3,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 17,home,Irvine Valley,W,6-1,6,1,5,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 19,home,West LA,W,2-1,2,1,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 21,home,Palomar,L,8-1,8,1,7,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 24,home,Southwestern,W,6-0,6,0,6,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Feb 26,home,San Diego Mesa,W,4-3,4,3,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 4,home,Grossmont,L,10-2,10,2,8,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 5,home,Imperial Valley,L,5-3,5,3,2,win,20150305_jl50,0,0,0,0,0.2,,,,0.00,,1,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 7,home,Mt. San Jacinto,L,12-2,12,2,10,win,20150307_k2nd,0,0,0,0,0.1,1,,,0.00,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 10,home,Palomar,L,1-0,1,0,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 12,home,Palomar,L,6-1,6,1,5,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 14,home,Palomar,L,10-6,10,6,4,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 17,home,Southwestern,L,6-3,6,3,3,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 19,home,Southwestern,L,7-3,7,3,4,win,20150319_lrjy,0,0,0,0,0.0,,,,0.00,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 21,home,Southwestern,L,3-2,3,2,1,win,20150321_gb20,0,0,0,0,0.0,,,,0.00,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 24,home,San Diego Mesa,L,14-8,14,8,6,win,20150324_s8je,0,0,0,0,0.2,,1,,0.00,1,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 26,home,San Diego Mesa,L,11-0,11,0,11,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Mar 27,home,San Diego Mesa,L,4-2,4,2,2,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 7,home,Grossmont,L,7-2,7,2,5,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 9,home,Grossmont,W,6-5,6,5,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 10,home,Grossmont,L,6-2,6,2,4,win,20150410_k39j,0,0,0,0,0.2,1,,,0.00,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 14,home,Imperial Valley,W,12-7,12,7,5,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 16,home,Imperial Valley,W,7-6,7,6,1,win,20150416_34ea,1,0,0,0,4.1,4,4,2,4.15,3,3,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 17,home,Imperial Valley,W,7-0,7,0,7,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 21,home,Mt. San Jacinto,W,13-7,13,7,6,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 23,home,Mt. San Jacinto,L,2-1,2,1,1,win,,,,,,,,,,,,,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
Apr 24,home,Mt. San Jacinto,W,6-3,6,3,3,win,20150424_011h,0,0,0,0,1.0,,1,,0.00,,1,2015,,San Diego City,sandiego,jamesmckenrickrdp6,James McKenrick
