date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Merced,L,10-8,10,8,2,win,20180127_r1ld,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Jan 30,home,San Mateo,L,12-5,12,5,7,win,20180130_p2aj,0,0,0,0,0.0,3,5,5,INF,1,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 1,home,San Mateo,L,11-0,11,0,11,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 3,home,San Mateo,L,7-5,7,5,2,win,20180203_j3in,0,0,0,0,0.0,,,,0.00,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 6,home,Skyline,W,6-4,6,4,2,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 8,home,Sierra,L,11-6,11,6,5,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 10,home,Sierra,L,13-1,13,1,12,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 13,home,Skyline,W,11-7,11,7,4,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 17,home,Santa Rosa,L,8-2,8,2,6,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 20,home,American River,W,17-5,17,5,12,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 22,home,Chabot,W,13-10,13,10,3,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 23,home,American River,L,5-4,5,4,1,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 24,home,Chabot,L,10-3,10,3,7,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Feb 27,home,Merced,L,16-13,16,13,3,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 1,home,Santa Rosa,,,,,3,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 3,home,Santa Rosa,L,7-3,7,3,4,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 6,home,Laney,L,11-2,11,2,9,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 8,home,Marin,L,12-3,12,3,9,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 10,home,Los Medanos,W,17-7,17,7,10,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 17,home,Mendocino,W,7-5,7,5,2,win,20180317_m5cn,0,0,0,1,2.0,,,,0.00,2,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 18,home,Mendocino,L,4-1,4,1,3,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 19,home,Mendocino,L,14-5,14,5,9,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 22,home,Contra Costa,W,22-11,22,11,11,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 23,home,Contra Costa,W,3-2,3,2,1,win,20180323_q542,0,0,0,1,1.0,,,,0.00,,2,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 24,home,Contra Costa,W,4-1,4,1,3,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 27,home,Yuba,L,6-4,6,4,2,win,20180327_uvhp,0,0,1,0,0.2,6,4,4,54.00,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 29,home,Yuba,W,10-7,10,7,3,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Mar 30,home,Yuba,W,9-5,9,5,4,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Apr 3,home,Napa Valley,W,15-4,15,4,11,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Apr 5,home,Napa Valley,W,6-5,6,5,1,win,20180405_cl85,0,0,0,1,1.0,,,,0.00,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
Apr 7,home,Napa Valley,,,,,1,win,,,,,,,,,,,,,2018,,Solano,solano,tylerpearsallvj06,Tyler Pearsall
