date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 30,home,Saddleback,L,13-5,13,5,8,win,20150130_dtb0,0,0,0,0,1.2,2,4,4,21.60,4,1,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Feb 3,home,West LA,W,4-3,4,3,1,win,20150203_c3ar,0,1,0,0,0.2,1,,,0.00,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 7,home,Mt. San Jacinto,L,12-2,12,2,10,win,20150307_k2nd,0,0,0,0,2.2,4,3,3,10.13,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 10,home,Palomar,L,1-0,1,0,1,win,20150310_z920,0,0,0,0,1.0,,,,0.00,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 14,home,Palomar,L,10-6,10,6,4,win,20150314_j07u,0,0,0,0,2.0,1,,,0.00,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 17,home,Southwestern,L,6-3,6,3,3,win,20150317_ahu2,0,0,0,0,1.0,1,1,1,9.00,2,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 21,home,Southwestern,L,3-2,3,2,1,win,20150321_gb20,0,0,1,0,0.1,2,1,1,27.00,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 26,home,San Diego Mesa,L,11-0,11,0,11,win,20150326_vbgu,0,0,0,0,0.0,,,,0.00,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Mar 27,home,San Diego Mesa,L,4-2,4,2,2,win,20150327_2fv8,0,0,1,0,4.0,3,2,2,4.50,1,2,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Apr 7,home,Grossmont,L,7-2,7,2,5,win,20150407_pozz,0,0,0,0,4.0,2,,,0.00,,3,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Apr 14,home,Imperial Valley,W,12-7,12,7,5,win,20150414_s13b,1,1,0,0,5.0,9,4,4,7.20,0,3,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Apr 21,home,Mt. San Jacinto,W,13-7,13,7,6,win,20150421_yxtq,0,0,0,0,2.0,1,,,0.00,,,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
Apr 24,home,Mt. San Jacinto,W,6-3,6,3,3,win,20150424_011h,0,0,0,0,1.0,,,,0.00,1,2,2015,,San Diego City,sandiego,jamesklueberq4cf,James Klueber
