date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Jan 27,home,Mt. San Antonio,W,9-5,9,5,4,win,20180127_pxd1,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Glendale,glendale,alexmills45a0,Alex Mills
Feb 1,home,Cerritos,L,7-4,7,4,3,win,20180201_3w5a,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Glendale,glendale,alexmills45a0,Alex Mills
Feb 2,home,East Los Angeles,L,5-0,5,0,5,win,20180202_09rq,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Glendale,glendale,alexmills45a0,Alex Mills
Feb 15,home,Saddleback,L,3-1,3,1,2,win,20180215_vinj,0,0,0,0,0.0,,,,0.00,,,2018,2017-18,Glendale,glendale,alexmills45a0,Alex Mills
