date,location,opponent,result,score,team_score,opp_score,game_score_diff,game_win_loss,game_id,TC,PO,A,E,FPCT,DP,SBA,RCS,RCS_PCT,PB,CI,season,cccaa_season,team,team_id,player_id,player_name
Apr 19,home,Barstow,W,9-3,9.0,3.0,6,win,20220419_udyy,0.0,0.0,0.0,0.0,1.1,,,,0.0,1.0,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Apr 21,home,Barstow,W,33-4,33.0,4.0,29,win,20220421_ujcs,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,0.0,3.0,1.0,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Apr 21,home,Barstow,W,14-11,14.0,11.0,3,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Apr 26,home,Victor Valley,W,10-7,10.0,7.0,3,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Apr 29,home,Victor Valley,L,6-5,6.0,5.0,1,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Apr 29,home,Victor Valley,W,8-3,8.0,3.0,5,win,,,,,,,,,,,,,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Apr 30,home,Barstow,W,11-4,11.0,4.0,7,win,20220430_fx4k,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,,1.0,2022,,Chaffey,chaffey,adamaguirretw2x,Adam Aguirre
Jan 28,home,Santa Rosa,L,5-3,5.0,3.0,2,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Jan 29,home,Santa Rosa,L,8-7,8.0,7.0,1,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 1,home,Laney,W,5-2,5.0,2.0,3,win,20220201_pb84,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
Feb 3,home,Laney,W,5-0,5.0,0.0,5,win,,,,,,,,,,,,,2022,,Chabot,chabot,jayleanhiggins53ho,Jaylean Higgins
